Name,Phone,WhatsApp_Link,City,Province,Category,Directory_Profile_URL,Claim_Profile_URL
"Kerala Hut Ajax",+1 905-550-3312,https://wa.me/19055503312?text=Vanakkam%20Kerala%20Hut%20Ajax!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/kerala-hut-ajax,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/kerala-hut-ajax,https://tamilcanadianpages.ca/claim/kerala-hut-ajax
"Kerala Lunch Box Tiffin service",+1 647-509-2019,https://wa.me/16475092019?text=Vanakkam%20Kerala%20Lunch%20Box%20Tiffin%20service!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/kerala-lunch-box-tiffin-service,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/kerala-lunch-box-tiffin-service,https://tamilcanadianpages.ca/claim/kerala-lunch-box-tiffin-service
"Madura Dine-In",+1 289-608-8388,https://wa.me/12896088388?text=Vanakkam%20Madura%20Dine-In!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/madura-dine-in,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/madura-dine-in,https://tamilcanadianpages.ca/claim/madura-dine-in
"Nantha Caters (Ajax)",+1 416-626-8421,https://wa.me/14166268421?text=Vanakkam%20Nantha%20Caters%20(Ajax)!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/nanthaters-ajax,"Ajax",ON,"temples-community",https://tamilcanadianpages.ca/directory/nanthaters-ajax,https://tamilcanadianpages.ca/claim/nanthaters-ajax
"New Spiceland Restaurant & Bakery",+1 905-426-4445,https://wa.me/19054264445?text=Vanakkam%20New%20Spiceland%20Restaurant%20%26%20Bakery!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/new-spiceland-restaurant-bakery,"Ajax",ON,"bakeries-sweets",https://tamilcanadianpages.ca/directory/new-spiceland-restaurant-bakery,https://tamilcanadianpages.ca/claim/new-spiceland-restaurant-bakery
"New Spiceland Supermarket",+1 905-426-1114,https://wa.me/19054261114?text=Vanakkam%20New%20Spiceland%20Supermarket!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/new-spiceland-supermarket,"Ajax",ON,"grocery-supermarkets",https://tamilcanadianpages.ca/directory/new-spiceland-supermarket,https://tamilcanadianpages.ca/claim/new-spiceland-supermarket
"Raavan - Tamil Comfort Food",+1 905-426-1444,https://wa.me/19054261444?text=Vanakkam%20Raavan%20-%20Tamil%20Comfort%20Food!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/raavan-tamil-comfort-food,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/raavan-tamil-comfort-food,https://tamilcanadianpages.ca/claim/raavan-tamil-comfort-food
"Sivamma Tiffins",+1 647-829-0112,https://wa.me/16478290112?text=Vanakkam%20Sivamma%20Tiffins!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/sivamma-tiffins,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/sivamma-tiffins,https://tamilcanadianpages.ca/claim/sivamma-tiffins
"Sri Aswins Kitchen",+1 289-224-5443,https://wa.me/12892245443?text=Vanakkam%20Sri%20Aswins%20Kitchen!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/sri-aswins-kitchen,"Ajax",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/sri-aswins-kitchen,https://tamilcanadianpages.ca/claim/sri-aswins-kitchen
"Neelam Indian Cuisine",+1 908-665-2212,https://wa.me/19086652212?text=Vanakkam%20Neelam%20Indian%20Cuisine!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/neelam-indian-cuisine,"Berkeley Heights",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/neelam-indian-cuisine,https://tamilcanadianpages.ca/claim/neelam-indian-cuisine
"Aardi's South Indian Traditional Kitchen",+1 905-913-1144,https://wa.me/19059131144?text=Vanakkam%20Aardi's%20South%20Indian%20Traditional%20Kitchen!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/aardi-s-south-indian-traditional-kitchen,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/aardi-s-south-indian-traditional-kitchen,https://tamilcanadianpages.ca/claim/aardi-s-south-indian-traditional-kitchen
"Anjappar Chettinad Restaurants",+1 905-450-7575,https://wa.me/19054507575?text=Vanakkam%20Anjappar%20Chettinad%20Restaurants!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/anjappar-chettinad-restaurants,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/anjappar-chettinad-restaurants,https://tamilcanadianpages.ca/claim/anjappar-chettinad-restaurants
"Annalakshmi Gore - South Indian Vegetarian Restaurant",+1 905-796-3672,https://wa.me/19057963672?text=Vanakkam%20Annalakshmi%20Gore%20-%20South%20Indian%20Vegetarian%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/annalakshmi-gore-south-indian-vegetarian-restaurant,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/annalakshmi-gore-south-indian-vegetarian-restaurant,https://tamilcanadianpages.ca/claim/annalakshmi-gore-south-indian-vegetarian-restaurant
"Annalakshmi Hwy10 - South Indian Vegetarian Restaurant",+1 905-230-3672,https://wa.me/19052303672?text=Vanakkam%20Annalakshmi%20Hwy10%20-%20South%20Indian%20Vegetarian%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/annalakshmi-hwy10-south-indian-vegetarian-restaurant,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/annalakshmi-hwy10-south-indian-vegetarian-restaurant,https://tamilcanadianpages.ca/claim/annalakshmi-hwy10-south-indian-vegetarian-restaurant
"Arusuvai Kitchen Brampton",+1 905-500-3441,https://wa.me/19055003441?text=Vanakkam%20Arusuvai%20Kitchen%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/arusuvai-kitchen-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/arusuvai-kitchen-brampton,https://tamilcanadianpages.ca/claim/arusuvai-kitchen-brampton
"Chennora South Indian Kitchen",+1 647-856-2878,https://wa.me/16478562878?text=Vanakkam%20Chennora%20South%20Indian%20Kitchen!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/chennora-south-indian-kitchen,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/chennora-south-indian-kitchen,https://tamilcanadianpages.ca/claim/chennora-south-indian-kitchen
"Dosa Boyz - Brampton",+1 905-454-9399,https://wa.me/19054549399?text=Vanakkam%20Dosa%20Boyz%20-%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-boyz-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-boyz-brampton,https://tamilcanadianpages.ca/claim/dosa-boyz-brampton
"Dosa Den",+1 905-497-3672,https://wa.me/19054973672?text=Vanakkam%20Dosa%20Den!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-den,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-den,https://tamilcanadianpages.ca/claim/dosa-den
"Dosa Dosa",+1 905-230-3003,https://wa.me/19052303003?text=Vanakkam%20Dosa%20Dosa!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-dosa,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-dosa,https://tamilcanadianpages.ca/claim/dosa-dosa
"Dosa Lounge",+1 905-265-9339,https://wa.me/19052659339?text=Vanakkam%20Dosa%20Lounge!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-lounge,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-lounge,https://tamilcanadianpages.ca/claim/dosa-lounge
"Dosa Queen",+1 905-500-9511,https://wa.me/19055009511?text=Vanakkam%20Dosa%20Queen!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-queen,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-queen,https://tamilcanadianpages.ca/claim/dosa-queen
"Great Indian Grocery and Kerala Foods",+1 647-274-6572,https://wa.me/16472746572?text=Vanakkam%20Great%20Indian%20Grocery%20and%20Kerala%20Foods!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/great-indian-grocery-and-kerala-foods,"Brampton",ON,"grocery-supermarkets",https://tamilcanadianpages.ca/directory/great-indian-grocery-and-kerala-foods,https://tamilcanadianpages.ca/claim/great-indian-grocery-and-kerala-foods
"Idli Street Brampton",+1 905-454-2454,https://wa.me/19054542454?text=Vanakkam%20Idli%20Street%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/idli-street-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/idli-street-brampton,https://tamilcanadianpages.ca/claim/idli-street-brampton
"Kalpataru Dosa Hub",+1 416-705-0914,https://wa.me/14167050914?text=Vanakkam%20Kalpataru%20Dosa%20Hub!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/kalpataru-dosa-hub,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/kalpataru-dosa-hub,https://tamilcanadianpages.ca/claim/kalpataru-dosa-hub
"Kerala Grocery",+1 647-869-6278,https://wa.me/16478696278?text=Vanakkam%20Kerala%20Grocery!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/kerala-grocery,"Brampton",ON,"grocery-supermarkets",https://tamilcanadianpages.ca/directory/kerala-grocery,https://tamilcanadianpages.ca/claim/kerala-grocery
"Kerala Meat and Fish Market/Great Indian Grocery",+1 647-274-6572,https://wa.me/16472746572?text=Vanakkam%20Kerala%20Meat%20and%20Fish%20Market%2FGreat%20Indian%20Grocery!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/kerala-meat-and-fish-market-great-indian-grocery,"Brampton",ON,"grocery-supermarkets",https://tamilcanadianpages.ca/directory/kerala-meat-and-fish-market-great-indian-grocery,https://tamilcanadianpages.ca/claim/kerala-meat-and-fish-market-great-indian-grocery
"LE KERALA RESTAURANT",+1 905-487-6070,https://wa.me/19054876070?text=Vanakkam%20LE%20KERALA%20RESTAURANT!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/le-kerala-restaurant,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/le-kerala-restaurant,https://tamilcanadianpages.ca/claim/le-kerala-restaurant
"Love South (Live Dosa, Idlis and More)",+1 905-790-0330,https://wa.me/19057900330?text=Vanakkam%20Love%20South%20(Live%20Dosa%2C%20Idlis%20and%20More)!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/love-south-live-dosa-idlis-and-more,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/love-south-live-dosa-idlis-and-more,https://tamilcanadianpages.ca/claim/love-south-live-dosa-idlis-and-more
"Madras Mami | Brampton",+1 905-913-5900,https://wa.me/19059135900?text=Vanakkam%20Madras%20Mami%20%7C%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/madras-mami-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/madras-mami-brampton,https://tamilcanadianpages.ca/claim/madras-mami-brampton
"Madras Restaurant - True South Indian Flavours",+1 905-789-6600,https://wa.me/19057896600?text=Vanakkam%20Madras%20Restaurant%20-%20True%20South%20Indian%20Flavours!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/madras-restaurant-true-south-indian-flavours,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/madras-restaurant-true-south-indian-flavours,https://tamilcanadianpages.ca/claim/madras-restaurant-true-south-indian-flavours
"Maruthi South Indian Restaurant",+1 905-453-2090,https://wa.me/19054532090?text=Vanakkam%20Maruthi%20South%20Indian%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/maruthi-south-indian-restaurant,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/maruthi-south-indian-restaurant,https://tamilcanadianpages.ca/claim/maruthi-south-indian-restaurant
"Maya's South Indian & Sri Lankan Cuisine",+1 905-497-7977,https://wa.me/19054977977?text=Vanakkam%20Maya's%20South%20Indian%20%26%20Sri%20Lankan%20Cuisine!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/maya-s-south-indian-sri-lankan-cuisine,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/maya-s-south-indian-sri-lankan-cuisine,https://tamilcanadianpages.ca/claim/maya-s-south-indian-sri-lankan-cuisine
"Motherland Foods - Kerala Grocery Brampton",+1 905-451-8222,https://wa.me/19054518222?text=Vanakkam%20Motherland%20Foods%20-%20Kerala%20Grocery%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/motherland-foods-kerala-grocery-brampton,"Brampton",ON,"grocery-supermarkets",https://tamilcanadianpages.ca/directory/motherland-foods-kerala-grocery-brampton,https://tamilcanadianpages.ca/claim/motherland-foods-kerala-grocery-brampton
"MR. JOHN'S Real Kerala Kitchen - Brampton",+1 905-451-9555,https://wa.me/19054519555?text=Vanakkam%20MR.%20JOHN'S%20Real%20Kerala%20Kitchen%20-%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/mr-john-s-real-kerala-kitchen-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/mr-john-s-real-kerala-kitchen-brampton,https://tamilcanadianpages.ca/claim/mr-john-s-real-kerala-kitchen-brampton
"Namma Kadai Biryani | NKB | South Indian Dine In & Take Out Restaurant - Brampton",+1 833-727-6882,https://wa.me/18337276882?text=Vanakkam%20Namma%20Kadai%20Biryani%20%7C%20NKB%20%7C%20South%20Indian%20Dine%20In%20%26%20Take%20Out%20Restaurant%20-%20Brampton!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/namma-kadai-biryani-nkb-south-indian-dine-in-take-out-restaurant-brampton,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/namma-kadai-biryani-nkb-south-indian-dine-in-take-out-restaurant-brampton,https://tamilcanadianpages.ca/claim/namma-kadai-biryani-nkb-south-indian-dine-in-take-out-restaurant-brampton
"Neelam jeweller",+1 905-867-4188,https://wa.me/19058674188?text=Vanakkam%20Neelam%20jeweller!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/neelam-jeweller,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/neelam-jeweller,https://tamilcanadianpages.ca/claim/neelam-jeweller
"New Yarl Dosa Corner Restaurant",+1 905-455-4473,https://wa.me/19054554473?text=Vanakkam%20New%20Yarl%20Dosa%20Corner%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/new-yarl-dosa-corner-restaurant,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/new-yarl-dosa-corner-restaurant,https://tamilcanadianpages.ca/claim/new-yarl-dosa-corner-restaurant
"Ocean Palate South Indian and Kerala cuisine",+1 905-913-4777,https://wa.me/19059134777?text=Vanakkam%20Ocean%20Palate%20South%20Indian%20and%20Kerala%20cuisine!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/ocean-palate-south-indian-and-kerala-cuisine,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/ocean-palate-south-indian-and-kerala-cuisine,https://tamilcanadianpages.ca/claim/ocean-palate-south-indian-and-kerala-cuisine
"Sambol Bakery-PRE ORDERS ONLY",+1 437-673-6937,https://wa.me/14376736937?text=Vanakkam%20Sambol%20Bakery-PRE%20ORDERS%20ONLY!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/sambol-bakery-pre-orders-only,"Brampton",ON,"bakeries-sweets",https://tamilcanadianpages.ca/directory/sambol-bakery-pre-orders-only,https://tamilcanadianpages.ca/claim/sambol-bakery-pre-orders-only
"The Leela's Dosa Delight",+1 416-529-6062,https://wa.me/14165296062?text=Vanakkam%20The%20Leela's%20Dosa%20Delight!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/the-leela-s-dosa-delight,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/the-leela-s-dosa-delight,https://tamilcanadianpages.ca/claim/the-leela-s-dosa-delight
"Vinayagar Vilas Take-Out & Catering",+1 905-796-2411,https://wa.me/19057962411?text=Vanakkam%20Vinayagar%20Vilas%20Take-Out%20%26%20Catering!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/vinayagar-vilas-take-outtering,"Brampton",ON,"temples-community",https://tamilcanadianpages.ca/directory/vinayagar-vilas-take-outtering,https://tamilcanadianpages.ca/claim/vinayagar-vilas-take-outtering
"Yarl Spices",+1 905-450-0144,https://wa.me/19054500144?text=Vanakkam%20Yarl%20Spices!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/yarl-spices,"Brampton",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/yarl-spices,https://tamilcanadianpages.ca/claim/yarl-spices
"Madras Curry House",+1 450-671-1444,https://wa.me/14506711444?text=Vanakkam%20Madras%20Curry%20House!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/madras-curry-house,"Brossard",QC,"restaurants-takeout",https://tamilcanadianpages.ca/directory/madras-curry-house,https://tamilcanadianpages.ca/claim/madras-curry-house
"Dosa Eatery Brant St Burlington",+1 905-633-0006,https://wa.me/19056330006?text=Vanakkam%20Dosa%20Eatery%20Brant%20St%20Burlington!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/dosa-eatery-brant-st-burlington,"Burlington",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/dosa-eatery-brant-st-burlington,https://tamilcanadianpages.ca/claim/dosa-eatery-brant-st-burlington
"Shree Akshayam - South Indian Restaurant",+1 905-331-3133,https://wa.me/19053313133?text=Vanakkam%20Shree%20Akshayam%20-%20South%20Indian%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/shree-akshayam-south-indian-restaurant,"Burlington",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/shree-akshayam-south-indian-restaurant,https://tamilcanadianpages.ca/claim/shree-akshayam-south-indian-restaurant
"Chettinad Dosa Palace",+1 604-544-1561,https://wa.me/16045441561?text=Vanakkam%20Chettinad%20Dosa%20Palace!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/chettinad-dosa-palace,"Burnaby",BC,"restaurants-takeout",https://tamilcanadianpages.ca/directory/chettinad-dosa-palace,https://tamilcanadianpages.ca/claim/chettinad-dosa-palace
"Manjal South Indian Kitchen",+1 604-515-4230,https://wa.me/16045154230?text=Vanakkam%20Manjal%20South%20Indian%20Kitchen!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/manjal-south-indian-kitchen,"Burnaby",BC,"restaurants-takeout",https://tamilcanadianpages.ca/directory/manjal-south-indian-kitchen,https://tamilcanadianpages.ca/claim/manjal-south-indian-kitchen
"Annalakshmi Bolton - South Indian Vegetarian Restaurant",+1 289-585-3672,https://wa.me/12895853672?text=Vanakkam%20Annalakshmi%20Bolton%20-%20South%20Indian%20Vegetarian%20Restaurant!%20Your%20business%20is%20featured%20on%20TamilCanadianPages.ca.%20Claim%20your%20free%20listing:%20https://tamilcanadianpages.ca/claim/annalakshmi-bolton-south-indian-vegetarian-restaurant,"Caledon",ON,"restaurants-takeout",https://tamilcanadianpages.ca/directory/annalakshmi-bolton-south-indian-vegetarian-restaurant,https://tamilcanadianpages.ca/claim/annalakshmi-bolton-south-indian-vegetarian-restaurant
